restaurant_id,date,metro_station,rest_name,full_address,target,longitude,latitude,chain_flg,avg_bill,rest_type,metro_distance,center_distance,avg_rating,rating_count,review_count,comp_100m,comp_200m,comp_300m,comp_rating_avg_100m,comp_rating_avg_200m,comp_rating_avg_300m,flag_no_comp_100m,flag_no_comp_200m,reviews_count_collected,avg_review_len_chars,avg_review_len_words,positive_share,neutral_share,negative_share,avg_sentiment_score,service_complaint_share,food_complaint_share,price_complaint_share,negative_service_share,negative_food_share,negative_price_share,service_among_negative_share,food_among_negative_share,price_among_negative_share,spark_link,egrul_flg,revenue_2025_m,net_profit_2025_m,arbitration_case_count,inspection_count,inn
1,2026-03-22,Тверская,Мари Vanna / Мариванна,пер. Спиридоньевский 10а,0.0,37.59577,55.762627,0.0,2200.0,Restaurant,710.0,1563,4.8,2425.0,1617,4.0,16.0,26.0,4.15,4.5063,4.496,0,0,50,347,51,0.78,0.06,0.16,0.62,0.16,0.1,0.06,0.1,0.06,0.02,0.625,0.375,0.125,https://spark-interfax.ru/system/home/card#/company/E34A814675694272A9551E4BC5FA9E01/101,1,-,-,-,-,7727612506
2,2026-03-16T09:52:30+00:00,Курская,Поэт и кот,Земляной вал 33,0.0,37.658786,55.757514,0.0,750.0,Coffee shop,69.0,2584,4.8,55.0,37,10.0,21.0,27.0,04.05,04.05,4.1192,0,0,45,257,38,0.7556,0.0667,0.1778,0.5778,0.0444,0.1111,0.0222,0.0222,0.0889,0.0,0.125,0.5,0.0,https://spark-interfax.ru/system/home/card#/company/69817C475C1F4B6F92EBA5AA9F31BF7C/101,1,-,-,1,0,7203337570
3,2026-03-15T18:26:52+00:00,Тургеневская,Pims,"Мясницкая, 15",0.0,37.634815,55.763234,1.0,800.0,Café,357.0,1358,4.4,286.0,191,10.0,22.0,34.0,4.51,4.4,4.4765,0,0,50,383,59,0.48,0.04,0.48,0.0,0.3,0.22,0.06,0.26,0.16,0.04,0.5417,0.3333,0.0833,https://spark-interfax.ru/system/home/card#/company/D34E192A6DDD271EE053219AA8C024BC/101,0,"181,4","6,3",0,0,9723132372
4,2026-03-13T19:59:58+00:00,Кропоткинская,AmPm,"Пожарский переулок, 3",1.0,37.604386,55.740233,0.0,5000.0,Restaurant,565.0,1918,4.9,144.0,96,2.0,4.0,11.0,4.65,4.575,4.3333,0,0,50,328,48,0.8,0.02,0.18,0.62,0.18,0.06,0.1,0.12,0.06,0.04,0.6667,0.3333,0.2222,https://spark-interfax.ru/system/home/card#/company/26BC431B00D94C84E063269AA8C07DF1/101,0,"23,4","-3,6",0,0,9705234389
5,2026-03-10T20:30:12+00:00,Красные Ворота,Poetica,"Мясницая, 41с3 ",0.0,37.64265,55.768356,0.0,2500.0,Restaurant,385.0,2099,4.6,37.0,25,4.0,10.0,19.0,4.5,4.55,4.5684,0,0,25,133,19,0.92,0.04,0.04,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,,-
6,2026-03-10T19:09:05+00:00,Чистые пруды,Одесса-мама,"Кривоколенный переулок, 10с5 ",0.0,37.636083,55.761697,1.0,1200.0,Restaurant,476.0,1329,4.7,7105.0,4737,4.0,17.0,21.0,4.55,4.6294,4.619,0,0,50,410,63,0.58,0.06,0.36,0.22,0.16,0.24,0.06,0.1,0.18,0.04,0.2778,0.5,0.1111,-,-,-,-,-,,-
7,2026-03-10T07:45:21+00:00,Площадь Революции,BoscoRuBar,ГУМ,1.0,37.620414,55.755223,1.0,2250.0,Bar,170.0,187,4.7,846.0,564,2.0,5.0,12.0,3.15,4.2,4.3333,0,0,50,422,63,0.78,0.0,0.22,0.56,0.28,0.14,0.06,0.14,0.12,0.02,0.6364,0.5455,0.0909,https://spark-interfax.ru/system/home/card#/company/13525AB415DA49D2A5D977D06CF8B0E6/101,0,1100,"3,7",7,14,7706283145
8,2026-03-06T08:36:20+00:00,Арбатская,Шоколадница,"Арбат, 1",0.0,37.599928,55.752,1.0,1500.0,Café,387.0,1184,4.2,2493.0,1662,2.0,20.0,29.0,4.5,4.4474,4.3893,0,0,50,571,89,0.26,0.04,0.7,-0.44,0.46,0.28,0.04,0.46,0.24,0.04,0.6571,0.3429,0.0571,https://spark-interfax.ru/system/home/card#/company/A17DBE6F2BE04844878379833FB9C4A9/101,0,97,-513,8,0,5009051111
9,2026-03-06T05:31:53+00:00,Тургеневская,Бенвенуто,"Сретенский бульвар, 6/1с1",1.0,37.633673,55.766077,0.0,2500.0,Restaurant,233.0,1522,4.5,1131.0,754,1.0,11.0,18.0,4.5,4.5727,4.6167,0,0,50,389,58,0.58,0.1,0.32,0.26,0.1,0.26,0.0,0.1,0.18,0.0,0.3125,0.5625,0.0,-,-,-,-,-,-,-
10,2026-03-04T18:16:50+00:00,Кропоткинская,Øliv Pizza,Красный октябрь,0.0,37.609554,55.740916,0.0,1000.0,Pizzeria,610.0,1730,5.0,809.0,539,12.0,18.0,22.0,4.4,4.3294,4.3476,0,0,50,421,63,0.88,0.02,0.1,0.78,0.06,0.14,0.02,0.02,0.06,0.0,0.2,0.6,0.0,-,-,-,-,-,-,-
11,2026-03-03T16:42:25+00:00,Трубная,MO Friends,"ул. Петровка, 20/1",0.0,37.618429,55.764213,0.0,2000.0,Restaurant,519.0,937,4.5,669.0,446,4.0,10.0,20.0,4.55,4.33,4.31,0,0,50,312,46,0.76,0.08,0.16,0.6,0.2,0.12,0.02,0.06,0.08,0.0,0.375,0.5,0.0,-,-,-,-,-,-,-
